"Source:","C:\Users\roehr\Downloads\Kicad\Amstrad_FPU_V2\Amstrad_FPU.kicad_sch"
"Date:","21/06/2023 08:31:59"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","27"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Sim.Device","Sim.Pins"
"1","5","C1, C2, C3, C4, C6","100nF","Device:C","Capacitor_THT:C_Rect_L10.0mm_W2.5mm_P7.50mm_MKS4","~","","",""
"2","1","C5","22Âµ 16V","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","","",""
"3","2","D1, D2","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","D","1=K 2=A"
"4","3","J1, J3, J4","1-2 9511 / 3-4 9512","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","","",""
"5","1","J2","1-2 2 MHz / 3-4 4 MHz","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","","",""
"6","2","R1, R2","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","",""
"7","2","RN1, RN2","4,7k","Device:R_Network08","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf","","",""
"8","2","SW1, SW2","SW_DIP_x08","Switch:SW_DIP_x08","Package_DIP:DIP-16_W7.62mm_Socket","~","","",""
"9","1","U1","~","Div_Phil:AM9511","Package_DIP:DIP-24_W15.24mm_Socket","","","",""
"10","1","U2","CPC6128_bus_connector","Div_Phil:CPC6128_bus_connector","Empreintes_Phil:IDC-Header_2x25_P2.54mm_Horizontal_Revers","","","",""
"11","1","U3","DC DC BOOST","Div_Phil:DC_DC_BOOST","Empreintes_Phil:DC DC Boost","","","",""
"12","2","U4, U7","74LS688","74xx:74LS688","Package_DIP:DIP-20_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS688","","",""
"13","1","U5","74LS139","74xx:74LS139","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf","","",""
"14","1","U6","74LS04","74xx:74LS04","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS04","","",""
"15","1","U9","74LS74","74xx:74LS74","Package_DIP:DIP-14_W7.62mm_Socket","74xx/74hc_hct74.pdf","","",""
"16","1","U10","74LS32","74xx:74LS32","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS32","","",""
